C1,C2,years,war,invpath
34,343,49,0,.0405085
34,177,49,0,.1099317
34,172,49,0,.1073512
82,296,49,0,.1986395
27,34,49,0,.1557244
28,34,49,0,.0664438
34,296,49,0,.0482503
34,106,49,0,.0964141
20,34,49,0,.078232
34,375,49,0,.0521785
34,216,49,0,.0650905
34,385,49,0,.0614073
34,63,49,0,.0874079
34,379,48,0,.0648818
34,220,47,0,0
27,347,46,0,.0799578
56,347,46,0,.1067123
347,375,46,0,.4608696
172,347,46,0,.1079041
347,389,46,0,.1060124
216,347,46,0,.202079
66,346,46,0,.0901782
347,390,46,0,.0555382
347,385,46,0,.1060124
20,347,46,0,.1678313
34,346,46,0,.0487024
177,347,46,0,.0889966
343,347,46,.021739,.2608696
296,347,46,0,.2000588
28,346,46,0,.1306873
63,346,46,0,.1505952
106,346,46,0,.0901782
106,347,46,0,.1011042
34,347,46,0,.056493
83,347,46,0,.1119134
34,304,46,0,.0243234
28,347,46,0,.1021683
19,347,46,0,.0766693
63,347,46,0,.1557887
19,346,46,0,.0677046
66,347,46,0,.1011042
56,340,45,0,.1298184
340,346,45,0,.1685185
346,347,45,0,.3340741
296,400,45,0,.0505454
34,340,45,0,.0596861
340,390,45,0,.0569993
340,385,45,0,.1262966
27,340,45,0,.0887551
296,340,45,0,.1693314
216,340,45,0,.7570696
66,178,45,0,.0611111
172,340,45,0,.1670675
347,379,45,0,.2041887
340,343,45,0,.1252971
340,375,45,0,.1477778
83,340,45,0,.1511376
340,389,45,0,.1262966
19,340,45,0,.069428
20,340,45,0,.2206029
177,340,45,0,.1038481
66,340,45,0,.1243271
220,347,45,0,0
106,340,45,0,.1243271
28,340,45,0,.1100083
63,340,45,0,.2090123
340,347,44,0,.1868326
220,346,44,0,0
340,379,44,0,.7727606
304,347,43,0,.0770119
220,340,43,0,0
304,340,42,0,.1454082
63,99999,41,0,.095236
20,99999,41,0,.0871063
19,99999,41,0,.1200819
56,99999,41,0,.0664687
28,99999,41,0,.0760161
172,99999,41,0,.1084998
248,379,40,0,.1454762
248,385,40,0,.0872912
248,99999,40,.1,.2229167
248,389,40,0,.0936007
248,250,40,.05,.0585737
177,248,40,.1,.1149107
248,400,40,0,.0964286
106,248,40,0,.1162553
20,240,40,0,.8056548
248,343,40,.1,.0889583
220,248,40,.2,.0370455
63,240,40,0,.2744445
248,375,40,0,.0364286
66,248,40,0,.0538595
82,248,40,.075,.1164583
56,240,40,0,.0612823
28,240,40,0,.3504167
172,240,40,0,.1684127
19,240,40,0,.1576016
216,248,40,0,.0969345
248,390,40,0,.1303012
240,248,39,.076923,.1347985
83,248,39,.076923,.1256003
304,99999,37,0,.2184685
27,99999,36,0,.0650237
240,304,36,0,.0488926
27,240,35,0,.1291775
29,390,34,0,.1245618
29,172,34,.029412,.3737745
20,29,34,0,.1173967
19,29,34,0,.0523325
29,177,34,0,.1482576
29,216,34,0,.1144024
29,83,34,0,.1960784
27,29,34,0,.1524099
29,106,34,0,.2541667
29,389,34,0,.0808384
29,56,34,0,.0603274
29,63,34,0,.1150444
28,29,34,0,.1050802
29,385,34,0,.0808384
29,375,34,0,.069635
29,296,34,0,.0690217
29,66,34,0,.2541667
29,379,34,0,.1144024
29,304,34,0,.0555857
29,343,34,.029412,.0625927
34,99999,33,0,.0489786
333,385,33,0,.086658
19,333,33,0,.0479243
29,333,33,0,.0788143
29,340,33,0,.1149383
333,375,33,0,.3706721
27,333,33,0,.0608925
29,34,33,0,.1659703
333,379,33,0,.2555556
177,333,33,0,.0795843
56,333,33,0,.1893218
333,343,33,0,.1230149
28,333,33,0,.0666088
29,346,33,0,.0548618
63,333,33,0,.1188071
34,333,33,0,.0461271
304,333,33,0,.1000722
20,333,33,0,.1199856
333,346,33,0,.0911015
333,340,33,0,.2210069
216,333,33,0,.2555556
296,333,33,0,.2141294
106,333,33,0,.0892759
333,390,33,0,.0442622
333,389,33,0,.086658
83,333,33,0,.1031746
172,333,33,0,.1098124
66,333,33,0,.0892759
29,347,32,0,.0805064
333,347,32,0,.2049096
29,220,32,0,0
248,296,32,0,.1321801
34,240,32,0,.0780287
220,333,31,0,0
347,99999,31,0,.1181941
66,291,30,0,0
240,347,30,0,.1546032
346,99999,30,0,.0914241
340,99999,29,0,.1381458
240,346,29,0,.2121169
240,340,28,0,.1493816
20,250,21,0,0
19,250,21,0,0
172,250,21,0,0
28,250,21,0,0
63,250,21,0,0
56,250,21,0,0
250,304,19,0,0
29,99999,18,0,.0726461
333,99999,17,0,.114819
29,240,17,0,.1067821
240,333,16,0,.0961538
27,250,16,0,0
27,170,14,0,0
27,87,14,0,0
34,250,13,0,0
75,157,12,0,0
75,170,12,0,0
75,296,12,0,0
339,346,12,0,.3888889
75,343,12,0,0
75,375,12,0,0
56,75,12,0,0
75,389,12,0,0
70,75,12,0,1
75,172,12,0,0
75,216,12,0,0
75,304,12,0,0
75,379,12,0,0
75,344,12,0,0
75,339,12,0,0
75,177,12,0,0
75,178,12,0,0
75,83,12,0,.4583333
75,390,12,0,0
344,346,12,0,.3888889
75,293,12,0,0
75,385,12,0,0
75,291,12,0,0
75,87,12,0,0
250,347,11,0,0
82,172,10,0,.0545455
250,346,10,0,0
56,82,10,0,.12
250,340,9,0,0
82,304,9,0,0
157,346,7,0,.1047619
56,400,6,0,0
172,400,6,0,0
28,82,6,0,.0769231
28,400,6,0,0
63,400,6,0,0
19,82,6,0,.1111111
20,400,6,0,0
19,400,6,0,0
63,82,6,0,.0833333
20,82,6,0,.0625
37,296,5,0,.0909091
37,385,5,0,.2333333
55,240,5,0,.2
37,55,5,0,.25
38,172,5,0,.1285714
38,296,5,0,.0625
55,220,5,0,0
37,38,5,0,.105
40,106,5,0,.1
28,37,5,0,.125
19,37,5,0,.25
38,99999,5,0,.0495238
55,400,5,0,0
37,83,5,0,.1428571
37,56,5,0,.1111111
38,40,5,0,.0981818
37,66,5,0,.1666667
38,82,5,0,.0555556
40,296,5,0,.0833333
55,379,5,0,.5
40,56,5,0,.1
38,106,5,0,.1022222
55,216,5,0,.0588235
38,390,5,0,.1733333
40,220,5,0,0
37,379,5,0,.5
40,389,5,0,.1116883
55,343,5,0,.0833333
20,37,5,0,.1111111
55,83,5,0,.1666667
40,66,5,0,.1
40,55,5,0,.1111111
55,106,5,0,.5
20,55,5,0,.125
55,385,5,0,.1885714
55,390,5,0,.2
20,40,5,0,.1111111
37,390,5,0,.1666667
19,40,5,0,.1666667
40,379,5,0,.125
40,82,5,0,.0714286
19,55,5,0,.3333333
55,82,5,0,.0833333
37,106,5,0,.1666667
55,172,5,0,.5
37,220,5,0,0
40,177,5,0,.1365079
40,390,5,0,.1885714
38,240,5,0,.1733333
40,172,5,0,.125
55,177,5,0,.25
37,400,5,0,0
28,55,5,0,.1428571
40,343,5,0,.0714286
55,63,5,0,.1666667
55,99999,5,0,.0704762
38,250,5,0,0
55,56,5,0,.125
37,99999,5,0,.0658333
37,172,5,0,.5
40,99999,5,0,.0617647
40,400,5,0,0
40,240,5,0,.2285714
38,389,5,0,.1085859
40,250,5,0,0
38,400,5,0,0
40,83,5,0,.25
37,40,5,0,.1
37,216,5,0,.0555556
55,389,5,0,.1885714
38,385,5,0,.1085859
38,343,5,0,.0555556
38,216,5,0,.0434783
40,63,5,0,.2
37,82,5,0,.0769231
20,38,5,0,.1
37,177,5,0,.2
55,66,5,0,.5
28,40,5,0,.1666667
37,250,5,0,0
